"_id","_index","_score","_type","available_size","brand_name",color,description,mrp,"pdp_url",price,"product_category","product_name",rating,retailer,"review_count","style_attributes","total_sizes"
"Mp-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","STICKER PRINT","an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/invisibles-hipster-51463508","$13.00 ",Panties,"invisibles hipster",NULL,"Calvin Klein US",NULL,"[""laser-cut hipster panty"",""ultra silky, lightweight feel"",""logo at waist"",""full cotton gusset"",""tagless"",""machine wash"",""72% nylon 28% elastane"",""imported""]","s,m,l"
"M5-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","PETITE CRESCENT PRINT","an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/invisibles-hipster-51463508","$13.00 ",Panties,"invisibles hipster",NULL,"Calvin Klein US",NULL,"[""laser-cut hipster panty"",""ultra silky, lightweight feel"",""logo at waist"",""full cotton gusset"",""tagless"",""machine wash"",""72% nylon 28% elastane"",""imported""]","s,m,l"
"NJ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","OFFSET BRICK","an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/invisibles-hipster-51463508","$13.00 ",Panties,"invisibles hipster",NULL,"Calvin Klein US",NULL,"[""laser-cut hipster panty"",""ultra silky, lightweight feel"",""logo at waist"",""full cotton gusset"",""tagless"",""machine wash"",""72% nylon 28% elastane"",""imported""]","s,m,l"
"NZ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","VISIONARY FLORAL","an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/invisibles-hipster-51463508","$13.00 ",Panties,"invisibles hipster",NULL,"Calvin Klein US",NULL,"[""laser-cut hipster panty"",""ultra silky, lightweight feel"",""logo at waist"",""full cotton gusset"",""tagless"",""machine wash"",""72% nylon 28% elastane"",""imported""]","s,m,l"
"Np-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","X-EMOJI PRINT","an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/invisibles-hipster-51463508","$13.00 ",Panties,"invisibles hipster",NULL,"Calvin Klein US",NULL,"[""laser-cut hipster panty"",""ultra silky, lightweight feel"",""logo at waist"",""full cotton gusset"",""tagless"",""machine wash"",""72% nylon 28% elastane"",""imported""]","s,m,l"
"N5-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","TRANSPINK/CALDWELL","a contrast color logo unlined bralette designed with stretch fabric, convertible straps, a longline silhouette and seamless technology for the ultimate in comfort and flexibility.","$36.00 ","http://www.calvinklein.us/en/womens-clothing/womens-bras/seamless-longline-bralette-52261889","$36.00 ",Bras,"seamless longline bralette",NULL,"Calvin Klein US",NULL,"[""soft multiway longline bralette"",""stretch fabric + seamless technology"",""wide elasticized logo band"",""contrast color logo"",""adjustable criss-cross shoulder straps"",""seaming details"",""unlined"",""machine wash"",""85% nylon 3% polyester 12% elastane"",""imported""]","s,m,l"
"OJ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc",s,"Calvin Klein",BLACK,"a modern cotton bandeau designed with cotton modal stretch fabric, a classic wide elasticized logo band and seaming details.","$24.00 ","http://www.calvinklein.us/en/womens-clothing/womens-sports-bras/modern-cotton-bandeau-52264619-020","$14.99 ",Bralettes,"modern cotton bandeau",NULL,"Calvin Klein US",NULL,"[""modern cotton bandeau"",""cotton modal stretch"",""bandeau shaping"",""wide elasticized logo band"",""tagless"",""tonal topstitching"",""seaming details"",""machine wash"",""53% cotton 35% modal 12% elastane"",""imported""]","s,m,l"
"OZ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,l","Calvin Klein","HEATHER GREY","a modern cotton bandeau designed with cotton modal stretch fabric, a classic wide elasticized logo band and seaming details.","$24.00 ","http://www.calvinklein.us/en/womens-clothing/womens-sports-bras/modern-cotton-bandeau-52264619-020","$14.99 ",Bralettes,"modern cotton bandeau",NULL,"Calvin Klein US",NULL,"[""modern cotton bandeau"",""cotton modal stretch"",""bandeau shaping"",""wide elasticized logo band"",""tagless"",""tonal topstitching"",""seaming details"",""machine wash"",""53% cotton 35% modal 12% elastane"",""imported""]","s,m,l"
"Op-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",BLACK,"the logo cotton bikini features an elasticized logo waistband and full cotton gusset.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/logo-cotton-bikini-51011618-001","$13.00 ",Panties,"logo cotton bikini",NULL,"Calvin Klein US",NULL,"[""soft bikini panty"",""elasticized logo waistband"",""full cotton gusset"",""full rear coverage"",""machine wash"",""90% cotton 10% elastane"",""imported""]","s,m,l"
"O5-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",WHITE,"the logo cotton bikini features an elasticized logo waistband and full cotton gusset.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/logo-cotton-bikini-51011618-001","$13.00 ",Panties,"logo cotton bikini",NULL,"Calvin Klein US",NULL,"[""soft bikini panty"",""elasticized logo waistband"",""full cotton gusset"",""full rear coverage"",""machine wash"",""90% cotton 10% elastane"",""imported""]","s,m,l"
